NmZ,N,Z,A,El,Mass_Excess,Binding_Energy,Beta_decay_Energy,AMU
22,49,27,76,Co,-25660.0,8131.0,16530.0,972453.0
20,48,28,76,Ni,-42190.0,8338.0,8791.0,954707.0
18,47,29,76,Cu,-50981.627,8443.6018,11321.396484375,945268.974
16,46,30,76,Zn,-62303.024,8582.2735,3993.6240234375,933114.956
14,45,31,76,Ga,-66296.648,8624.5272,6916.25,928827.624
12,44,32,76,Ge,-73212.898,8705.2364,-921.5145263671875,921402.725
10,43,33,76,As,-72291.384,8682.8172,2960.57568359375,922392.011
8,42,34,76,Se,-75251.959,8711.4781,-4962.880859375,919213.702
6,41,35,76,Br,-70289.078,8635.883,-1275.3724365234375,924541.574
4,40,36,76,Kr,-69013.706,8608.8077,-8534.6171875,925910.743
2,39,37,76,Rb,-60479.089,8486.2161,-6231.443359375,935073.031
0,38,38,76,Sr,-54247.645,8393.9294,-15998.0,941762.76
-2,37,39,76,Y,-38250.0,8173.0,0.0,958937.0
23,50,27,77,Co,-21910.0,8082.0,15440.0,976479.0
21,49,28,77,Ni,-37350.0,8272.0,11513.0,959903.0
19,48,29,77,Cu,-48862.828,8411.2501,9926.375,947543.599
17,47,30,77,Zn,-58789.203,8530.0037,7203.1494140625,936887.197
15,46,31,77,Ga,-65992.352,8613.3907,5220.517578125,929154.299
13,45,32,77,Ge,-71212.87,8671.0293,2703.464111328125,923549.843
11,44,33,77,As,-73916.334,8695.9789,683.1627197265625,920647.555
9,43,34,77,Se,-74599.497,8694.6908,-1364.67919921875,919914.15
7,42,35,77,Br,-73234.818,8666.8073,-3065.3662109375,921379.193
5,41,36,77,Kr,-70169.451,8616.837,-5338.95166015625,924669.999
3,40,37,77,Rb,-64830.5,8537.3396,-7027.056640625,930401.599
1,39,38,77,Sr,-57803.443,8435.9188,-11365.0,937945.454
